Away Team,City,Home Team,Match Date,Match ID,Match Referee,Player Of Match,Season,Team Gender,Toss Decision,Toss Winner,TV Umpire,Umpire,Venue,Winner,Number of Records,Winner Runs
Sri Lanka,Dunedin,New Zealand,10-12-2015,914203,DC Boon,MJ Guptill,2015/16,male,field,Sri Lanka,PR Reiffel,"RA Kettleborough,NJ Llong",University Oval,New Zealand,1,122
Sri Lanka,Hamilton,New Zealand,18-12-2015,914205,DC Boon,KS Williamson,2015/16,male,field,New Zealand,RA Kettleborough,"NJ Llong,PR Reiffel",Seddon Park,New Zealand,1,
Sri Lanka,Christchurch,New Zealand,26-12-2015,914207,AJ Pycroft,MJ Henry,2015/16,male,bat,Sri Lanka,RK Illingworth,"MA Gough,PD Jones",Hagley Oval,New Zealand,1,
England,Durban,South Africa,26-12-2015,800461,RS Madugalle,MM Ali,2015/16,male,field,South Africa,BNJ Oxenford,"Aleem Dar,RJ Tucker",Kingsmead,England,1,241
West Indies,,Australia,26-12-2015,892517,BC Broad,NM Lyon,2015/16,male,field,West Indies,IJ Gould,"M Erasmus,CB Gaffaney",Melbourne Cricket Ground,Australia,1,177
Sri Lanka,Christchurch,New Zealand,28-12-2015,914209,AJ Pycroft,MJ Guptill,2015/16,male,bat,Sri Lanka,MA Gough,"RK Illingworth,DJ Walker",Hagley Oval,New Zealand,1,
Sri Lanka,Nelson,New Zealand,31-12-2015,914211,AJ Pycroft,MD Gunathilaka,2015/16,male,bat,New Zealand,RK Illingworth,"BF Bowden,MA Gough",Saxton Oval,Sri Lanka,1,
England,Cape Town,South Africa,02-01-2016,800463,RS Madugalle,BA Stokes,2015/16,male,bat,England,RJ Tucker,"Aleem Dar,BNJ Oxenford",Newlands,,1,
Sri Lanka,Nelson,New Zealand,02-01-2016,914213,AJ Pycroft,,2015/16,male,field,Sri Lanka,MA Gough,"BF Bowden,RK Illingworth",Saxton Oval,,1,
West Indies,,Australia,03-01-2016,892519,BC Broad,DA Warner,2015/16,male,bat,West Indies,M Erasmus,"CB Gaffaney,IJ Gould",Sydney Cricket Ground,,1,
Sri Lanka,Mount Maunganui,New Zealand,05-01-2016,914215,AJ Pycroft,MJ Henry,2015/16,male,field,Sri Lanka,RK Illingworth,"BF Bowden,MA Gough",Bay Oval,New Zealand,1,36
Sri Lanka,Mount Maunganui,New Zealand,07-01-2016,914217,AJ Pycroft,TA Boult,2015/16,male,field,Sri Lanka,BF Bowden,"PD Jones,DJ Walker",Bay Oval,New Zealand,1,3
Sri Lanka,Auckland,New Zealand,10-01-2016,914219,AJ Pycroft,C Munro,2015/16,male,field,New Zealand,DJ Walker,"BF Bowden,PD Jones",Eden Park,New Zealand,1,
India,Perth,Australia,12-01-2016,895807,JJ Crowe,SPD Smith,2015/16,male,bat,India,MD Martell,"SD Fry,RA Kettleborough",Western Australia Cricket Association Ground,Australia,1,
England,Johannesburg,South Africa,14-01-2016,800465,RS Madugalle,SCJ Broad,2015/16,male,bat,South Africa,CB Gaffaney,"Aleem Dar,RJ Tucker",New Wanderers Stadium,England,1,
India,Brisbane,Australia,15-01-2016,895809,JJ Crowe,RG Sharma,2015/16,male,bat,India,SD Fry,"RA Kettleborough,MD Martell","""Brisbane Cricket Ground",Australia,1,
Zimbabwe,Khulna,Bangladesh,15-01-2016,958415,BC Broad,H Masakadza,2015/16,male,bat,Zimbabwe,Anisur Rahman,"Enamul Haque,Sharfuddoula",Sheikh Abu Naser Stadium,Bangladesh,1,
Pakistan,Auckland,New Zealand,15-01-2016,914221,DC Boon,Shahid Afridi,2015/16,male,field,New Zealand,BF Bowden,"PD Jones,DJ Walker",Eden Park,Pakistan,1,16
Pakistan,Hamilton,New Zealand,17-01-2016,914223,DC Boon,MJ Guptill,2015/16,male,bat,Pakistan,WR Knights,"BF Bowden,DJ Walker",Seddon Park,New Zealand,1,
Zimbabwe,Khulna,Bangladesh,17-01-2016,958417,BC Broad,Sabbir Rahman,2015/16,male,bat,Bangladesh,Enamul Haque,"Anisur Rahman,Sharfuddoula",Sheikh Abu Naser Stadium,Bangladesh,1,42
India,,Australia,17-01-2016,895811,JJ Crowe,GJ Maxwell,2015/16,male,field,Australia,MD Martell,"SD Fry,RA Kettleborough",Melbourne Cricket Ground,Australia,1,
India,Canberra,Australia,20-01-2016,895813,JJ Crowe,KW Richardson,2015/16,male,bat,Australia,P Wilson,"RA Kettleborough,JD Ward",Manuka Oval,Australia,1,25
